Requirement ID,Effective location,Group location,Ledger location,Links checked,Invalid links
KBDL-A11Y-001,accessibility.md §6–§45,accessibility.md §6–§45,accessibility.md §6–§45,accessibility.md#3-wcag-22-level-aa-mapping,None
KBDL-A11Y-002,accessibility.md §6–§45,accessibility.md §6–§45,accessibility.md §6–§45,accessibility.md#3-wcag-22-level-aa-mapping,None
KBDL-A11Y-003,accessibility.md §6–§45,accessibility.md §6–§45,accessibility.md §6–§45,accessibility.md#3-wcag-22-level-aa-mapping,None
KBDL-A11Y-004,accessibility.md §6–§45,accessibility.md §6–§45,accessibility.md §6–§45,accessibility.md#3-wcag-22-level-aa-mapping,None
KBDL-A11Y-005,accessibility.md §6–§45,accessibility.md §6–§45,accessibility.md §6–§45,accessibility.md#3-wcag-22-level-aa-mapping,None
KBDL-A11Y-006,accessibility.md §6–§45,accessibility.md §6–§45,accessibility.md §6–§45,accessibility.md#3-wcag-22-level-aa-mapping,None
KBDL-A11Y-007,accessibility.md §6–§45,accessibility.md §6–§45,accessibility.md §6–§45,accessibility.md#3-wcag-22-level-aa-mapping,None
KBDL-A11Y-008,accessibility.md §6–§45,accessibility.md §6–§45,accessibility.md §6–§45,accessibility.md#3-wcag-22-level-aa-mapping,None
KBDL-A11Y-009,accessibility.md §6–§45,accessibility.md §6–§45,accessibility.md §6–§45,accessibility.md#3-wcag-22-level-aa-mapping,None
KBDL-A11Y-010,accessibility.md §6–§45,accessibility.md §6–§45,accessibility.md §6–§45,accessibility.md#3-wcag-22-level-aa-mapping,None
KBDL-A11Y-011,"accessibility.md §16, §25, §39","accessibility.md §16, §25, §39","accessibility.md §16, §25, §39",accessibility.md#16-light-dark-forced-colors-and-high-contrast-behavior,None
KBDL-A11Y-012,accessibility.md §6–§45,accessibility.md §6–§45,accessibility.md §6–§45,accessibility.md#3-wcag-22-level-aa-mapping,None
KBDL-A11Y-013,accessibility.md §6–§45,accessibility.md §6–§45,accessibility.md §6–§45,accessibility.md#3-wcag-22-level-aa-mapping,None
KBDL-A11Y-014,accessibility.md §6–§45,accessibility.md §6–§45,accessibility.md §6–§45,accessibility.md#3-wcag-22-level-aa-mapping,None
