Group,Requirement ID,IDs in group,Fields parsed,Unparsed fields,Per-ID resolution
2,KBDL-GOV-001,1,11,None,Resolved
3,KBDL-GOV-002,1,11,None,Resolved
4,KBDL-GOV-003,1,11,None,Resolved
15,KBDL-PRN-001,1,11,None,Resolved
16,KBDL-PRN-002,1,11,None,Resolved
17,KBDL-PRN-003,1,11,None,Resolved
18,KBDL-PRN-004,1,11,None,Resolved
19,KBDL-PRN-005,1,11,None,Resolved
20,KBDL-PRN-006,1,11,None,Resolved
21,KBDL-PRN-007,1,11,None,Resolved
22,KBDL-PRN-008,1,11,None,Resolved
23,KBDL-FND-001,2,11,None,Resolved
23,KBDL-FND-002,2,11,None,Resolved
24,KBDL-FND-003,2,11,None,Resolved
24,KBDL-FND-004,2,11,None,Resolved
25,KBDL-FND-005,3,11,None,Resolved
25,KBDL-FND-006,3,11,None,Resolved
25,KBDL-FND-007,3,11,None,Resolved
26,KBDL-FND-008,1,11,None,Resolved
27,KBDL-FND-009,4,11,None,Resolved
27,KBDL-FND-010,4,11,None,Resolved
27,KBDL-FND-011,4,11,None,Resolved
27,KBDL-FND-012,4,11,None,Resolved
28,KBDL-THM-001,1,11,None,Resolved
29,KBDL-THM-002,1,11,None,Resolved
30,KBDL-THM-003,1,11,None,Resolved
31,KBDL-THM-013,1,11,None,Resolved
32,KBDL-THM-004,1,11,None,Resolved
33,KBDL-THM-005,2,11,None,Resolved
33,KBDL-THM-006,2,11,None,Resolved
34,KBDL-THM-014,1,11,None,Resolved
35,KBDL-THM-015,1,11,None,Resolved
36,KBDL-THM-007,2,11,None,Resolved
36,KBDL-THM-008,2,11,None,Resolved
37,KBDL-THM-009,3,11,None,Resolved
37,KBDL-THM-010,3,11,None,Resolved
37,KBDL-THM-011,3,11,None,Resolved
38,KBDL-THM-012,2,11,None,Resolved
38,KBDL-THM-012a,2,11,None,Resolved
39,KBDL-MOT-001,3,11,None,Resolved
39,KBDL-MOT-002,3,11,None,Resolved
39,KBDL-MOT-003,3,11,None,Resolved
40,KBDL-MOT-004,3,11,None,Resolved
40,KBDL-MOT-005,3,11,None,Resolved
40,KBDL-MOT-006,3,11,None,Resolved
41,KBDL-MOT-007,3,11,None,Resolved
41,KBDL-MOT-008,3,11,None,Resolved
41,KBDL-MOT-009,3,11,None,Resolved
42,KBDL-MOT-010,3,11,None,Resolved
42,KBDL-MOT-011,3,11,None,Resolved
42,KBDL-MOT-012,3,11,None,Resolved
43,KBDL-MOT-013,7,11,None,Resolved
43,KBDL-MOT-014,7,11,None,Resolved
43,KBDL-MOT-015,7,11,None,Resolved
43,KBDL-MOT-016,7,11,None,Resolved
43,KBDL-MOT-017,7,11,None,Resolved
43,KBDL-MOT-018,7,11,None,Resolved
43,KBDL-MOT-019,7,11,None,Resolved
44,KBDL-MOT-020,1,11,None,Resolved
45,KBDL-MOT-021,7,11,None,Resolved
45,KBDL-MOT-022,7,11,None,Resolved
